,dzielnica,powierzchnia,lPokoi,powierzchniaDzialki,rodzajZabudowy,materialBudynku,rokBudowy,stanWykonczenia,okna,rynek,lPieter,cena
5846,Dom na sprzedaż mazowieckie pruszkowski Piastów ,500 m²,więcej niż 10,700 m²,wolnostojący,cegła,2004,,plastikowe,wtórny,0,2 300 000 zł
5847,Dom na sprzedaż mazowieckie warszawski zachodni Łomianki ul. Szpitalna ,"548,20 m²",7,1 009 m²,wolnostojący,,1991,,,wtórny,1 piętro,1 500 000 zł
5848,Dom na sprzedaż mazowieckie piaseczyński Parcela-Obory ,625 m²,7,1 261 m²,,cegła,2004,do zamieszkania,,wtórny,1 piętro,3 950 000 zł
5849,Dom na sprzedaż mazowieckie Warszawa Śródmieście Śródmieście Południowe ,251 m²,5,665 m²,bliźniak,,2008,,plastikowe,wtórny,1 piętro,1 399 000 zł
5850,Dom na sprzedaż mazowieckie warszawski zachodni Hornówek ,160 m²,3,2 400 m²,,cegła,1969,do remontu,,wtórny,1 piętro,2 299 000 zł
5851,Dom na sprzedaż mazowieckie siedlecki Gostchorz ,85 m²,4,3 000 m²,wolnostojący,drewno,1960,,,wtórny,parterowy,289 000 zł
5852,Dom na sprzedaż mazowieckie Warszawa Targówek ,300 m²,7,280 m²,bliźniak,cegła,2000,do zamieszkania,plastikowe,wtórny,3 piętra i więcej,1 850 000 zł
5853,Dom na sprzedaż mazowieckie nowodworski Błędowo Sielawy ,"115,03 m²",4,1 000 m²,wolnostojący,,2021,,,pierwotny,parterowy,322 000 zł
5854,Dom na sprzedaż mazowieckie Warszawa Targówek Zacisze ,220 m²,4,384 m²,bliźniak,cegła,2011,do zamieszkania,,wtórny,2 piętra,1 550 000 zł
5855,Dom na sprzedaż mazowieckie pruszkowski Piastów ,"139,35 m²",4,115 m²,szeregowiec,beton komórkowy,2021,,,pierwotny,0,749 000 zł
5856,Dom na sprzedaż mazowieckie warszawski zachodni Myszczyn ,"133,50 m²",4,1 000 m²,wolnostojący,inne,0,do zamieszkania,plastikowe,pierwotny,1 piętro,950 000 zł
5857,Dom na sprzedaż mazowieckie wołomiński Marki ,170 m²,5,837 m²,wolnostojący,cegła,2011,do zamieszkania,plastikowe,wtórny,1 piętro,1 300 000 zł
5858,Dom na sprzedaż mazowieckie pruszkowski Janki ,220 m²,4,800 m²,bliźniak,cegła,2020,do wykończenia,,wtórny,2 piętra,890 000 zł
5859,Dom na sprzedaż mazowieckie miński Mrozy ,130 m²,4,14 700 m²,wolnostojący,pustak,2019,do zamieszkania,,wtórny,1 piętro,899 000 zł
5860,Dom na sprzedaż mazowieckie ostrowski Jarząbka ,80 m²,2,3 000 m²,wolnostojący,drewno,0,,plastikowe,wtórny,parterowy,315 000 zł
5861,Dom na sprzedaż mazowieckie warszawski zachodni Janów ,286 m²,6,1 123 m²,wolnostojący,,2008,,,wtórny,0,2 999 000 zł
5862,Dom na sprzedaż mazowieckie Warszawa Wesoła ,140 m²,5,889 m²,,cegła,2001,do zamieszkania,,wtórny,parterowy,830 000 zł
5863,Dom na sprzedaż mazowieckie piaseczyński Głosków ,178 m²,6,400 m²,bliźniak,cegła,2020,do zamieszkania,aluminiowe,wtórny,0,1 295 000 zł
5864,Dom na sprzedaż mazowieckie pruszkowski Sękocin-Las ,330 m²,7,2 100 m²,wolnostojący,pustak,2022,do wykończenia,aluminiowe,pierwotny,2 piętra,0
5865,Dom na sprzedaż mazowieckie grodziski Żelechów ,248 m²,5,7 000 m²,wolnostojący,cegła,0,do zamieszkania,plastikowe,wtórny,1 piętro,2 500 000 zł
5866,Dom na sprzedaż mazowieckie legionowski Serock ,150 m²,4,455 m²,bliźniak,cegła,2007,do zamieszkania,plastikowe,wtórny,1 piętro,799 000 zł
5867,Dom na sprzedaż mazowieckie piaseczyński Konstancin-Jeziorna ,317 m²,6,8 800 m²,wolnostojący,inne,0,do zamieszkania,drewniane,wtórny,1 piętro,1 999 000 zł
5868,Dom na sprzedaż mazowieckie grodziski Grodzisk Mazowiecki ,220 m²,6,1 500 m²,wolnostojący,inne,2003,,plastikowe,wtórny,0,1 200 000 zł
5869,Dom na sprzedaż mazowieckie Warszawa Ursynów Kabaty Gąsek ,60 m²,3,700 m²,,,1936,do remontu,,wtórny,0,1 950 000 zł
5870,Dom na sprzedaż mazowieckie Warszawa Białołęka Brzeziny ,200 m²,6,500 m²,bliźniak,,2011,do zamieszkania,,wtórny,1 piętro,1 470 000 zł
5871,Dom na sprzedaż mazowieckie pruszkowski Pruszków ul. Obrońców Pokoju ,262 m²,7,818 m²,wolnostojący,cegła,1992,,,wtórny,1 piętro,1 450 000 zł
5872,Dom na sprzedaż mazowieckie grodziski Grzegorzewice ,240 m²,4,10 100 m²,wolnostojący,pustak,1996,do zamieszkania,plastikowe,wtórny,2 piętra,858 000 zł
5873,Dom na sprzedaż mazowieckie Warszawa Wilanów Biedronki ,"319,60 m²",7,422 m²,wolnostojący,cegła,1949,do zamieszkania,drewniane,wtórny,2 piętra,2 290 000 zł
5874,Dom na sprzedaż mazowieckie grodziski Żelechów ,350 m²,7,2 600 m²,wolnostojący,,0,do zamieszkania,drewniane,wtórny,2 piętra,1 600 000 zł
5875,Dom na sprzedaż mazowieckie otwocki Wiązowna ul. Duchnowska ,150 m²,3,5 100 m²,wolnostojący,cegła,2007,do zamieszkania,,wtórny,parterowy,1 550 000 zł
5876,Dom na sprzedaż mazowieckie warszawski zachodni Duchnice ,215 m²,5,800 m²,wolnostojący,cegła,2000,do zamieszkania,aluminiowe,wtórny,1 piętro,1 700 000 zł
5877,Dom na sprzedaż mazowieckie siedlecki Żelków-Kolonia Żwirowa ,"188,99 m²",6,764 m²,wolnostojący,pustak,2000,do zamieszkania,plastikowe,wtórny,2 piętra,459 000 zł
5878,Dom na sprzedaż mazowieckie Warszawa Mokotów ,280 m²,6,305 m²,,cegła,1960,do zamieszkania,,wtórny,1 piętro,1 990 000 zł
5879,Dom na sprzedaż mazowieckie warszawski zachodni Łomianki ,115 m²,5,210 m²,bliźniak,,2021,,,pierwotny,0,530 000 zł
5880,Dom na sprzedaż mazowieckie otwocki Karczew ,398 m²,9,1 364 m²,wolnostojący,cegła,1960,,,wtórny,1 piętro,1 500 000 zł
5881,Dom na sprzedaż mazowieckie kozienicki Bobrowniki ,35 m²,2,9 960 m²,wolnostojący,,2015,do wykończenia,,wtórny,0,220 000 zł
5882,Dom na sprzedaż mazowieckie siedlecki Góry ,60 m²,3,3 500 m²,wolnostojący,drewno,1939,do zamieszkania,drewniane,wtórny,parterowy,495 000 zł
5883,Dom na sprzedaż mazowieckie otwocki Józefów ,484 m²,8,1 900 m²,,,2012,,,wtórny,2 piętra,3 200 000 zł
5884,Dom na sprzedaż mazowieckie grodziski Grodzisk Mazowiecki ,123 m²,4,300 m²,szeregowiec,,2021,do wykończenia,plastikowe,pierwotny,1 piętro,749 000 zł
5885,Dom na sprzedaż mazowieckie warszawski zachodni Lipków ul. Józefa Paschalisa Jakubowicza ,"173,20 m²",5,"252,80 m²",szeregowiec,,2021,do wykończenia,,pierwotny,1 piętro,0
5886,Dom na sprzedaż mazowieckie Warszawa Bielany Stare Bielany ,160 m²,6,398 m²,bliźniak,cegła,1936,do zamieszkania,,wtórny,1 piętro,2 850 000 zł
5887,Dom na sprzedaż mazowieckie Radom ,"147,30 m²",5,1 162 m²,wolnostojący,pustak,2020,stan surowy otwarty,,pierwotny,1 piętro,380 000 zł
5888,Dom na sprzedaż mazowieckie Warszawa Wawer Radość ,405 m²,5,2 135 m²,wolnostojący,,0,,,wtórny,1 piętro,2 950 000 zł
5889,Dom na sprzedaż mazowieckie grodziski Żabia Wola ,350 m²,7,1 200 m²,wolnostojący,,2012,,drewniane,wtórny,1 piętro,1 499 001 zł
5890,Dom na sprzedaż mazowieckie otwocki Góraszka ,210 m²,4,811 m²,bliźniak,inne,2007,,plastikowe,wtórny,parterowy,1 100 000 zł
5891,Dom na sprzedaż mazowieckie grodziski Książenice ul. Wiolinowa ,220 m²,5,1 603 m²,wolnostojący,cegła,2013,do zamieszkania,plastikowe,wtórny,1 piętro,1 230 000 zł
5892,Dom na sprzedaż mazowieckie płocki Ramutowo ,199 m²,5,0,wolnostojący,,2002,do zamieszkania,plastikowe,wtórny,1 piętro,990 000 zł
5893,Dom na sprzedaż mazowieckie grodziski Grodzisk Mazowiecki ,137 m²,4,880 m²,wolnostojący,beton komórkowy,2021,,plastikowe,wtórny,0,680 000 zł
5894,Dom na sprzedaż mazowieckie warszawski zachodni Kaputy ,130 m²,4,350 m²,,,2020,do wykończenia,plastikowe,pierwotny,0,721 000 zł
5895,Dom na sprzedaż mazowieckie radomski Skaryszew ,110 m²,2,2 804 m²,wolnostojący,cegła,1960,do remontu,plastikowe,wtórny,parterowy,320 000 zł
5896,Dom na sprzedaż mazowieckie Warszawa Mokotów Sadyba ,"548,71 m²",8,551 m²,wolnostojący,cegła,1989,do remontu,,wtórny,3 piętra i więcej,3 500 000 zł
5897,Dom na sprzedaż mazowieckie piaseczyński Czarnów ,222 m²,9,1 065 m²,wolnostojący,cegła,2001,do zamieszkania,,wtórny,0,1 340 000 zł
5898,Dom na sprzedaż mazowieckie piaseczyński Konstancin-Jeziorna ,270 m²,6,998 m²,wolnostojący,cegła,2017,,,wtórny,1 piętro,1 699 000 zł
5899,Dom na sprzedaż mazowieckie nowodworski Cybulice Małe Kasztanowa ,145 m²,5,279 m²,bliźniak,inne,2020,do wykończenia,,pierwotny,0,529 000 zł
5900,Dom na sprzedaż mazowieckie piaseczyński Biały Ług Świerkowa ,230 m²,5,1 900 m²,wolnostojący,cegła,0,do zamieszkania,plastikowe,wtórny,1 piętro,1 500 000 zł
5901,Dom na sprzedaż mazowieckie wołomiński Ząbki ,118 m²,5,25 m²,szeregowiec,,2020,do wykończenia,plastikowe,pierwotny,2 piętra,976 000 zł
5902,Dom na sprzedaż mazowieckie warszawski zachodni Kaputy ul. Sochaczewska ,452 m²,7,3 500 m²,wolnostojący,,0,,,wtórny,1 piętro,1 920 000 zł
5903,Dom na sprzedaż mazowieckie pruszkowski Raszyn ,240 m²,7,1 000 m²,wolnostojący,,2009,,,wtórny,2 piętra,2 700 000 zł
5904,Dom na sprzedaż mazowieckie Warszawa Wawer ul. Poprawna ,143 m²,4,0,szeregowiec,cegła,2021,do wykończenia,plastikowe,pierwotny,0,0
5905,Dom na sprzedaż mazowieckie Warszawa Włochy ,360 m²,8,343 m²,bliźniak,cegła,2002,do zamieszkania,plastikowe,wtórny,1 piętro,3 300 000 zł
5906,Dom na sprzedaż mazowieckie piaseczyński Magdalenka ks. Kanonika H. Słojewskiego ,397 m²,5,1 273 m²,wolnostojący,,2000,do zamieszkania,,wtórny,0,4 000 000 zł
5907,Dom na sprzedaż mazowieckie siedlecki Zawady ,55 m²,2,1 038 m²,bliźniak,pustak,1975,,plastikowe,wtórny,0,130 000 zł
5908,Dom na sprzedaż mazowieckie piaseczyński Góra Kalwaria ,178 m²,6,1 000 m²,wolnostojący,beton komórkowy,2021,do wykończenia,plastikowe,pierwotny,0,850 000 zł
5909,Dom na sprzedaż mazowieckie piaseczyński Piaseczno Zalesie Dolne ,120 m²,5,948 m²,wolnostojący,,2001,do zamieszkania,drewniane,wtórny,2 piętra,970 000 zł
5910,Dom na sprzedaż mazowieckie piaseczyński Piskórka ,"181,50 m²",5,1 250 m²,wolnostojący,,2014,do zamieszkania,plastikowe,wtórny,1 piętro,1 250 000 zł
5911,Dom na sprzedaż mazowieckie warszawski zachodni Lipków ul. Jana Skrzetuskiego ,"367,70 m²",7,2 968 m²,,,2022,,,pierwotny,0,0
5912,Dom na sprzedaż mazowieckie piaseczyński Konstancin-Jeziorna ,100 m²,3,750 m²,wolnostojący,,1985,,,wtórny,1 piętro,780 000 zł
5913,Dom na sprzedaż mazowieckie Warszawa Wawer Marysin Wawerski ,360 m²,8,1 200 m²,,cegła,2004,do zamieszkania,drewniane,wtórny,parterowy,2 550 000 zł
5914,Dom na sprzedaż mazowieckie Warszawa Ursynów Nowe Jeziorki ,169 m²,6,566 m²,wolnostojący,cegła,2018,,plastikowe,wtórny,1 piętro,1 100 000 zł
5915,Dom na sprzedaż mazowieckie Warszawa Białołęka ul. Podróżnicza ,"155,25 m²",5,100 m²,szeregowiec,silikat,2022,,plastikowe,pierwotny,2 piętra,0
5916,Dom na sprzedaż mazowieckie otwocki Otwock Wielki ,130 m²,3,1 000 m²,,,0,,,wtórny,0,480 000 zł
5917,Dom na sprzedaż mazowieckie miński Sulejówek Miłosna ,211 m²,5,875 m²,wolnostojący,,2019,,plastikowe,wtórny,0,1 999 000 zł
5918,Dom na sprzedaż mazowieckie grodziski Bartoszówka ,459 m²,9,2 200 m²,wolnostojący,cegła,2006,do zamieszkania,plastikowe,wtórny,1 piętro,3 100 000 zł
5919,Dom na sprzedaż mazowieckie piaseczyński Piaseczno ,149 m²,5,500 m²,bliźniak,,2022,do wykończenia,plastikowe,pierwotny,1 piętro,750 000 zł
5920,Dom na sprzedaż mazowieckie Warszawa Wawer ul. Skowronkowa ,"89,36 m²",5,"38,41 m²",,,2022,,,pierwotny,0,0
5921,Dom na sprzedaż mazowieckie piaseczyński Solec ,190 m²,5,715 m²,bliźniak,pustak,2018,do wykończenia,plastikowe,wtórny,1 piętro,835 000 zł
5922,Dom na sprzedaż mazowieckie Warszawa Targówek ul. Radzymińska ,866 m²,więcej niż 10,3 200 m²,wolnostojący,,0,,,wtórny,2 piętra,5 500 000 zł
5923,Dom na sprzedaż mazowieckie Warszawa Białołęka Ostródzka ,"145,50 m²",6,662 m²,wolnostojący,cegła,2006,do zamieszkania,plastikowe,wtórny,1 piętro,1 250 000 zł
5924,Dom na sprzedaż mazowieckie grodziski Podkowa Leśna ,250 m²,6,1 380 m²,,beton komórkowy,2006,,plastikowe,wtórny,0,1 950 000 zł
5925,Dom na sprzedaż mazowieckie pruszkowski Walendów ,190 m²,5,618 m²,wolnostojący,cegła,2010,do zamieszkania,plastikowe,wtórny,1 piętro,1 700 000 zł
5926,Dom na sprzedaż mazowieckie mławski Mława ul. 20 Dywizji Piechoty Wojska Polskiego ,"129,03 m²",5,2 500 m²,szeregowiec,pustak,2020,do wykończenia,plastikowe,pierwotny,1 piętro,515 000 zł
5927,Dom na sprzedaż mazowieckie piaseczyński Łazy ,159 m²,5,475 m²,bliźniak,cegła,2021,do wykończenia,,pierwotny,0,1 225 000 zł
5928,Dom na sprzedaż mazowieckie nowodworski Nowy Dwór Mazowiecki ul. Marii Curie-Skłodowskiej ,"98,16 m²",4,"24,14 m²",,,2021,,,pierwotny,0,0
5929,Dom na sprzedaż mazowieckie grodziski Grodzisk Mazowiecki ,154 m²,5,2 001 m²,wolnostojący,pustak,2010,,plastikowe,wtórny,0,890 000 zł
5930,Dom na sprzedaż mazowieckie wołomiński Cygów ,157 m²,6,1 000 m²,wolnostojący,beton komórkowy,0,,,pierwotny,1 piętro,725 000 zł
5931,Dom na sprzedaż mazowieckie Warszawa Białołęka Kobiałka ,340 m²,6,1 266 m²,wolnostojący,inne,2008,do zamieszkania,plastikowe,wtórny,1 piętro,1 800 000 zł
5932,Dom na sprzedaż mazowieckie Radom ,153 m²,5,1 700 m²,wolnostojący,,2015,,plastikowe,wtórny,0,249 000 zł
5933,Dom na sprzedaż mazowieckie grodziski Szczęsne ,105 m²,4,350 m²,bliźniak,,0,,,pierwotny,2 piętra,590 000 zł
5934,Dom na sprzedaż mazowieckie warszawski zachodni Łomianki Dolne ,256 m²,6,192 m²,szeregowiec,cegła,2008,,plastikowe,wtórny,parterowy,1 443 000 zł
5935,Dom na sprzedaż mazowieckie legionowski Serock ,310 m²,6,900 m²,wolnostojący,cegła,2002,do zamieszkania,plastikowe,wtórny,1 piętro,4 500 000 zł
5936,Dom na sprzedaż mazowieckie piaseczyński Baszkówka ul. Słoneczna ,"157,60 m²",5,208 m²,bliźniak,beton komórkowy,2022,do wykończenia,plastikowe,pierwotny,1 piętro,0
5937,Dom na sprzedaż mazowieckie legionowski Legionowo ,130 m²,4,750 m²,wolnostojący,cegła,2021,do wykończenia,plastikowe,pierwotny,parterowy,640 000 zł
5938,Dom na sprzedaż mazowieckie pruszkowski Domaniew Jesienna ,137 m²,4,1 460 m²,wolnostojący,,2001,do zamieszkania,plastikowe,wtórny,1 piętro,899 000 zł
5939,Dom na sprzedaż mazowieckie Warszawa Włochy ,104 m²,4,481 m²,,inne,1991,do zamieszkania,,wtórny,1 piętro,899 000 zł
5940,Dom na sprzedaż mazowieckie Warszawa Wawer Marysin Wawerski ,206 m²,5,224 m²,szeregowiec,,0,do zamieszkania,plastikowe,wtórny,2 piętra,1 600 000 zł
5941,Dom na sprzedaż mazowieckie pruszkowski Dawidy Bankowe ,120 m²,4,161 m²,szeregowiec,inne,2021,do wykończenia,plastikowe,pierwotny,1 piętro,719 000 zł
5942,Dom na sprzedaż mazowieckie pruszkowski Pęcice ,530 m²,9,766 m²,wolnostojący,pustak,1997,,,wtórny,1 piętro,1 650 000 zł
5943,Dom na sprzedaż mazowieckie wołomiński Zielonka ,280 m²,6,790 m²,bliźniak,inne,1990,,plastikowe,wtórny,2 piętra,1 550 000 zł
5944,Dom na sprzedaż mazowieckie żyrardowski Żyrardów Centrum ul. Ziołowa ,"105,57 m²",4,220 m²,szeregowiec,beton komórkowy,2020,do wykończenia,plastikowe,pierwotny,2 piętra,0
5945,Dom na sprzedaż mazowieckie Warszawa Bemowo ,262 m²,8,280 m²,szeregowiec,cegła,1995,do remontu,plastikowe,wtórny,3 piętra i więcej,1 500 000 zł
5946,Dom na sprzedaż mazowieckie żyrardowski Kamionka ,700 m²,7,4 955 m²,dworek/pałac,,1975,,,wtórny,1 piętro,1 500 000 zł
5947,Dom na sprzedaż mazowieckie pruszkowski Strzeniówka ,410 m²,8,2 000 m²,wolnostojący,cegła,2000,do zamieszkania,plastikowe,wtórny,1 piętro,1 660 000 zł
5948,Dom na sprzedaż mazowieckie piaseczyński Konstancin-Jeziorna Od Lasu ,540 m²,8,3 646 m²,wolnostojący,,2006,do zamieszkania,drewniane,wtórny,1 piętro,6 000 000 zł
5949,Dom na sprzedaż mazowieckie grodziski Grodzisk Mazowiecki ,150 m²,6,350 m²,szeregowiec,inne,2021,do wykończenia,plastikowe,pierwotny,0,659 000 zł
5950,Dom na sprzedaż mazowieckie piaseczyński Piaseczno ,325 m²,6,617 m²,,cegła,2002,do zamieszkania,,wtórny,2 piętra,1 750 000 zł
5951,Dom na sprzedaż mazowieckie wołomiński Strachówka ,70 m²,3,1 000 m²,,,1995,,,wtórny,1 piętro,133 000 zł
5952,Dom na sprzedaż mazowieckie Warszawa Wilanów ,475 m²,10,1 000 m²,wolnostojący,,2018,do zamieszkania,,wtórny,0,5 390 000 zł
5953,Dom na sprzedaż mazowieckie piaseczyński Bobrowiec ,"118,36 m²",4,467 m²,,,2021,do wykończenia,plastikowe,pierwotny,2 piętra,750 000 zł
5954,Dom na sprzedaż mazowieckie nowodworski Nowy Dwór Mazowiecki ul. Targowa ,"162,10 m²",4,83 m²,szeregowiec,,0,,,wtórny,1 piętro,600 000 zł
5955,Dom na sprzedaż mazowieckie otwocki Józefów ,180 m²,6,475 m²,bliźniak,cegła,2021,,,pierwotny,2 piętra,1 280 000 zł
5956,Dom na sprzedaż mazowieckie mławski Mława ,"122,51 m²",5,500 m²,bliźniak,,2020,,plastikowe,pierwotny,parterowy,490 000 zł
5957,Dom na sprzedaż mazowieckie warszawski zachodni Łomianki Dąbrowa Długa ,350 m²,9,450 m²,wolnostojący,pustak,1995,,plastikowe,wtórny,0,1 500 000 zł
5958,Dom na sprzedaż mazowieckie wołomiński Wołomin ,119 m²,4,1 000 m²,wolnostojący,beton komórkowy,2022,do wykończenia,plastikowe,pierwotny,parterowy,757 000 zł
5959,Dom na sprzedaż mazowieckie warszawski zachodni Łomianki ,290 m²,5,1 023 m²,wolnostojący,cegła,2006,do zamieszkania,plastikowe,wtórny,1 piętro,1 550 000 zł
5960,Dom na sprzedaż mazowieckie otwocki Karczew ,270 m²,6,460 m²,bliźniak,cegła,1996,do zamieszkania,plastikowe,wtórny,1 piętro,900 000 zł
5961,Dom na sprzedaż mazowieckie Warszawa Wesoła Stara Miłosna ,520 m²,7,557 m²,wolnostojący,cegła,0,do zamieszkania,drewniane,wtórny,parterowy,1 790 000 zł
5962,Dom na sprzedaż mazowieckie wołomiński Łąki ,379 m²,5,1 698 m²,wolnostojący,,2004,,,wtórny,1 piętro,1 120 000 zł
5963,Dom na sprzedaż mazowieckie pruszkowski Kajetany ,200 m²,5,1 023 m²,bliźniak,inne,1998,do zamieszkania,drewniane,wtórny,2 piętra,790 000 zł
5964,Dom na sprzedaż mazowieckie Warszawa Ursynów ,"297,80 m²",4,1 400 m²,wolnostojący,cegła,2004,do zamieszkania,drewniane,wtórny,1 piętro,1 690 000 zł
5965,Dom na sprzedaż mazowieckie grodziski Musuły Dębowa ,170 m²,6,1 200 m²,wolnostojący,,2021,stan surowy zamknięty,plastikowe,wtórny,2 piętra,750 000 zł
5966,Dom na sprzedaż mazowieckie Warszawa Wilanów Przyczółkowa ,320 m²,6,789 m²,wolnostojący,,2001,do zamieszkania,plastikowe,wtórny,1 piętro,2 200 000 zł
5967,Dom na sprzedaż mazowieckie warszawski zachodni Ożarów Mazowiecki ,290 m²,6,1 000 m²,wolnostojący,cegła,2007,do zamieszkania,drewniane,wtórny,1 piętro,1 990 000 zł
5968,Dom na sprzedaż mazowieckie grodziski Grodzisk Mazowiecki ,188 m²,5,408 m²,,cegła,1998,,plastikowe,wtórny,0,1 000 000 zł
5969,Dom na sprzedaż mazowieckie otwocki Józefów ,"275,20 m²",5,891 m²,wolnostojący,pustak,2017,,,wtórny,1 piętro,1 699 000 zł
5970,Dom na sprzedaż mazowieckie Warszawa Mokotów ,450 m²,10,217 m²,,inne,1994,do zamieszkania,drewniane,wtórny,3 piętra i więcej,2 250 000 zł
5971,Dom na sprzedaż mazowieckie Warszawa Wesoła Wola Grzybowska ,160 m²,5,421 m²,wolnostojący,,0,do zamieszkania,,wtórny,2 piętra,1 590 000 zł
5972,Dom na sprzedaż mazowieckie wołomiński Marki ,180 m²,5,800 m²,wolnostojący,pustak,2005,do zamieszkania,drewniane,wtórny,1 piętro,1 270 000 zł
5973,Dom na sprzedaż mazowieckie Warszawa Wilanów Powsin Rosy ,"193,73 m²",6,570 m²,bliźniak,,2021,stan surowy zamknięty,,wtórny,2 piętra,2 350 000 zł
5974,Dom na sprzedaż mazowieckie wołomiński Ludwinów ,20 m²,1,1 491 m²,,,2000,,,wtórny,0,100 000 zł
5975,Dom na sprzedaż mazowieckie nowodworski Nowy Dwór Mazowiecki ,"310,40 m²",5,817 m²,wolnostojący,inne,2000,,drewniane,wtórny,0,1 275 000 zł
5976,Dom na sprzedaż mazowieckie Siedlce ,240 m²,6,270 m²,,,2004,,,wtórny,0,1 190 000 zł
5977,Dom na sprzedaż mazowieckie wołomiński Radzymin ,111 m²,4,0,,,2021,,,pierwotny,0,479 000 zł
5978,Dom na sprzedaż mazowieckie piaseczyński Chylice ,"193,50 m²",6,0,bliźniak,,2020,do wykończenia,,wtórny,1 piętro,950 000 zł
5979,Dom na sprzedaż mazowieckie grodziski Milanówek ,385 m²,5,2 500 m²,wolnostojący,,0,do zamieszkania,,wtórny,1 piętro,3 600 000 zł
5980,Dom na sprzedaż mazowieckie pruszkowski Reguły Kotwiczna ,180 m²,6,705 m²,bliźniak,cegła,2020,do wykończenia,plastikowe,pierwotny,1 piętro,1 349 000 zł
5981,Dom na sprzedaż mazowieckie Warszawa Wawer ,350 m²,6,850 m²,dworek/pałac,,2006,,plastikowe,wtórny,1 piętro,1 780 000 zł
5982,Dom na sprzedaż mazowieckie Warszawa Rembertów ,125 m²,4,269 m²,bliźniak,cegła,2020,do wykończenia,plastikowe,pierwotny,1 piętro,980 000 zł
5983,Dom na sprzedaż mazowieckie grodziski Grodzisk Mazowiecki ,192 m²,5,1 240 m²,wolnostojący,cegła,2005,,plastikowe,wtórny,0,1 100 000 zł
5984,Dom na sprzedaż mazowieckie pruszkowski Komorów ,159 m²,5,637 m²,wolnostojący,pustak,2021,do zamieszkania,plastikowe,pierwotny,1 piętro,1 399 000 zł
5985,Dom na sprzedaż mazowieckie piaseczyński Solec ,"163,35 m²",4,858 m²,wolnostojący,inne,2003,do zamieszkania,plastikowe,wtórny,0,899 000 zł
5986,Dom na sprzedaż mazowieckie żyrardowski Radziejowice ,232 m²,7,1 101 m²,wolnostojący,inne,2005,,plastikowe,wtórny,0,898 900 zł
5987,,0,0,0,,,0,,,,0,0
5988,Dom na sprzedaż mazowieckie piaseczyński Głosków ,155 m²,6,0,bliźniak,,2021,do wykończenia,plastikowe,pierwotny,1 piętro,760 000 zł
5989,Dom na sprzedaż mazowieckie warszawski zachodni Ożarów Mazowiecki ul. Romana Dmowskiego ,"113,85 m²",5,75 m²,,,2023,,,pierwotny,0,0
